display,name_kr,name_en,ticker,type,enabled,aliases
레이,레이,,228670.KQ,company,1,
LS네트웍스,LS네트웍스,,000680.KS,company,1,
방림,방림,,003610.KS,company,1,
자이언트스텝,자이언트스텝,,289220.KQ,company,1,
진로발효,진로발효,,018120.KQ,company,1,
덱스터,덱스터,,206560.KQ,company,1,
국전약품,국전약품,,307750.KQ,company,1,
신대양제지,신대양제지,,016590.KS,company,1,
데이타솔루션,데이타솔루션,,263800.KQ,company,1,
에스앤에스텍,에스앤에스텍,,101490.KQ,company,1,
삼영전자공업,삼영전자공업,,005680.KS,company,1,
전방,전방,,000950.KS,company,1,
금강철강,금강철강,,053260.KQ,company,1,
이구산업,이구산업,,025820.KS,company,1,
태경케미컬,태경케미컬,,006890.KS,company,1,
오디텍,오디텍,,080520.KQ,company,1,
경방,경방,,000050.KS,company,1,
로체시스템즈,로체시스템즈,,071280.KQ,company,1,
한국화장품,한국화장품,,123690.KS,company,1,
한국컴퓨터,한국컴퓨터,,054040.KQ,company,1,
클래시스,클래시스,,214150.KQ,company,1,
린드먼아시아,린드먼아시아,,277070.KQ,company,1,
유성기업,유성기업,,002920.KS,company,1,
큐브엔터,큐브엔터,,182360.KQ,company,1,
오이솔루션,오이솔루션,,138080.KQ,company,1,
NEW,NEW,,160550.KQ,company,1,
보락,보락,,002760.KS,company,1,
디모아,디모아,,016670.KQ,company,1,
레이언스,레이언스,,228850.KQ,company,1,
광주신세계,광주신세계,,037710.KS,company,1,
혜인,혜인,,003010.KS,company,1,
제일테크노스,제일테크노스,,038010.KQ,company,1,
하이텍팜,하이텍팜,,106190.KQ,company,1,
한전KPS,한전KPS,,051600.KS,company,1,
상보,상보,,027580.KQ,company,1,
JYP Ent.,JYP Ent.,,035900.KQ,company,1,
KG케미칼,KG케미칼,,001390.KS,company,1,
인포바인,인포바인,,115310.KQ,company,1,
코리아써키트,코리아써키트,,007810.KS,company,1,
한일홀딩스,한일홀딩스,,003300.KS,company,1,
부산산업,부산산업,,011390.KS,company,1,
서진오토모티브,서진오토모티브,,122690.KQ,company,1,
이화산업,이화산업,,000760.KS,company,1,
유비쿼스홀딩스,유비쿼스홀딩스,,078070.KQ,company,1,
옵티시스,옵티시스,,109080.KQ,company,1,
위지트,위지트,,036090.KQ,company,1,
슈프리마,슈프리마,,236200.KQ,company,1,
제이에스코퍼레이션,제이에스코퍼레이션,,194370.KS,company,1,
지어소프트,지어소프트,,051160.KQ,company,1,
네오위즈홀딩스,네오위즈홀딩스,,042420.KQ,company,1,
SNT모티브,SNT모티브,,064960.KS,company,1,
조광페인트,조광페인트,,004910.KS,company,1,
네오셈,네오셈,,253590.KQ,company,1,
엘오티베큠,엘오티베큠,,083310.KQ,company,1,
미래에셋맵스리츠,미래에셋맵스리츠,,357250.KS,company,1,
신원,신원,,009270.KS,company,1,
풍강,풍강,,093380.KQ,company,1,
디케이락,디케이락,,105740.KQ,company,1,
고려신용정보,고려신용정보,,049720.KQ,company,1,
SHD,SHD,,001770.KS,company,1,
SH에너지화학,SH에너지화학,,002360.KS,company,1,
대양전기공업,대양전기공업,,108380.KQ,company,1,
플랜티넷,플랜티넷,,075130.KQ,company,1,
이노메트리,이노메트리,,302430.KQ,company,1,
에스피지,에스피지,,058610.KQ,company,1,
파버나인,파버나인,,177830.KQ,company,1,
아비코전자,아비코전자,,036010.KQ,company,1,
하림,하림,,136480.KQ,company,1,
코리아에프티,코리아에프티,,123410.KQ,company,1,
현대에버다임,현대에버다임,,041440.KQ,company,1,
디아이동일,디아이동일,,001530.KS,company,1,
바이오플러스,바이오플러스,,099430.KQ,company,1,
에프엔에스테크,에프엔에스테크,,083500.KQ,company,1,
모나미,모나미,,005360.KS,company,1,
일신방직,일신방직,,003200.KS,company,1,
대한과학,대한과학,,131220.KQ,company,1,
KB오토시스,KB오토시스,,024120.KQ,company,1,
그리티,그리티,,204020.KQ,company,1,
샘표,샘표,,007540.KS,company,1,
아세아제지,아세아제지,,002310.KS,company,1,
핑거스토리,핑거스토리,,417180.KQ,company,1,
동일산업,동일산업,,004890.KS,company,1,
YBM넷,YBM넷,,057030.KQ,company,1,
인터플렉스,인터플렉스,,051370.KQ,company,1,
천일고속,천일고속,,000650.KS,company,1,
예스티,예스티,,122640.KQ,company,1,
스튜디오산타클로스,스튜디오산타클로스,,204630.KQ,company,1,
크라운해태홀딩스,크라운해태홀딩스,,005740.KS,company,1,
에스에이엠티,에스에이엠티,,031330.KQ,company,1,
인지소프트,인지소프트,,100030.KQ,company,1,
뉴프렉스,뉴프렉스,,085670.KQ,company,1,
에프에스티,에프에스티,,036810.KQ,company,1,
서한,서한,,011370.KQ,company,1,
웹스,웹스,,196700.KQ,company,1,
아이티엠반도체,아이티엠반도체,,084850.KQ,company,1,
세화피앤씨,세화피앤씨,,252500.KQ,company,1,
서부T&D,서부T&D,,006730.KQ,company,1,
일지테크,일지테크,,019540.KQ,company,1,
프로텍,프로텍,,053610.KQ,company,1,
에프엔씨엔터,에프엔씨엔터,,173940.KQ,company,1,
비아트론,비아트론,,141000.KQ,company,1,
진에어,진에어,,272450.KS,company,1,
한솔홈데코,한솔홈데코,,025750.KS,company,1,
로보로보,로보로보,,215100.KQ,company,1,
필옵틱스,필옵틱스,,161580.KQ,company,1,
대정화금,대정화금,,120240.KQ,company,1,
슈프리마에이치큐,슈프리마에이치큐,,094840.KQ,company,1,
E1,E1,,017940.KS,company,1,
메리츠금융지주,메리츠금융지주,,138040.KS,company,1,
SK텔레콤,SK텔레콤,,017670.KS,company,1,
LX홀딩스,LX홀딩스,,383800.KS,company,1,
STX,STX,,011810.KS,company,1,
한국큐빅,한국큐빅,,021650.KQ,company,1,
한국카본,한국카본,,017960.KS,company,1,
